consorciado;numero requerimiento;fecha requerimiento;descripcion;tipo solicitud;sede;ubicacion;numero cotizacion consorcio;fecha cotizacion consorcio;numero cotizacion consorciado;fecha cotizacion consorciado;estado cotizacion;valor mano de obra;valor materiales;costo directo;administracion;imprevistos;utilidad;impuesto;total;valor facturado;valor pagado;numero factura;tipo acta;fecha acta;detalle acta;pago consorciado;numero factura consorciado;valor mano obra consorciado;valor materiales consorciado;costo directo consorciado;administracion consorciado;imprevistos consorciado;utilidad consorciado;impuesto consorciado;total consorciado;valor mano obra administracion;valor materiales administracion;costo directo administracion;administracion administracion;imprevistos administracion;utilidad administracion;impuesto administracion;total administracion
ANDINA S.A.;00000002;2009-02-04;"Emergencia presentada por falta de mantenimiento en el grupo electrogeno 150 KW, 187.5 KVA";Emergencia;NEIVA -  CD;Neiva;00000002-00;2009-03-12;CT-CIM-09-08 ;2009-01-27;Facturada total;1087000;0;1087000;0;0;0;173920;1260920;1260920;1260920;100;Acta finalización;2009-10-23;;Si;100;869600;0;869600;0;0;0;139136;1008736;217400;0;217400;0;0;0;34784;252184
ENERCON LTDA;00000003;2009-02-04;"Alumbrado perimetral edificio administrativo";Proyecto;ARMENIA - CD;Armenia;00000003-00;2009-02-04;001-2009 ;2009-02-09;Pendiente;9217800;10956185;20173985;0;0;0;3227837;23401822;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000004;2009-02-06;"Adecuación del sistema de iluminación de los vestier CCL";Proyecto;TECHO;Bogotá;00000004-00;2009-02-06;OM09-234 ;2009-02-10;Facturada total;2541000;14508100;17049100;0;0;0;2727856;19776956;19776956;17566369;148;Acta finalización;2009-10-26;;Si;148;1805582;12886444;14692026;0;0;0;2350724;17042750;451395;0;451395;0;0;0;72223;523618
INCOEL LTDA;00000005;2009-02-10;"Proyecto centro de distribución Cableado Estructurado";Proyecto;CUCUTA - CD PREMIER;Cúcuta;00000005-00;2009-02-17;OM09-293 ;2009-02-17;Facturada parcial;62084322;145266246;207350568;0;0;0;33176090;240526658;72157997;63407803;136;Acta avance obra;2009-11-06;;Si;136;16366712;38295188;54661900;0;0;0;8745904;63407804;0;0;0;0;0;0;0;0
INCOEL LTDA;00000005;2009-02-10;"Proyecto centro de distribución Cableado Estructurado";Proyecto;CUCUTA - CD PREMIER;Cúcuta;00000005-00;2009-02-17;OM09-293 ;2009-02-17;Facturada parcial;62084322;145266246;207350568;0;0;0;33176090;240526658;141856021;125836073;253;Acta avance obra;2009-11-06;;Si;253;32480588;75998785;108479373;0;0;0;17356700;125836073;0;0;0;0;0;0;0;0
INCOEL LTDA;00000006;2009-02-10;"Proyecto centro de distribución Cableado Estructurado";Proyecto;PEREIRA - CD;Pereira;00000006-00;2009-02-17;OM09-294 ;2009-02-17;Facturada parcial;47245397;118936551;166181948;0;0;0;26589111;192771059;57831317;50499369;137;Acta avance obra;2009-11-06;;Si;137;12376665;31157274;43533939;0;0;0;6965430;50499369;0;0;0;0;0;0;0;0
INCOEL LTDA;00000006;2009-02-10;"Proyecto centro de distribución Cableado Estructurado";Proyecto;PEREIRA - CD;Pereira;00000006-00;2009-02-17;OM09-294 ;2009-02-17;Facturada parcial;47245397;118936551;166181948;0;0;0;26589111;192771059;87962221;0;265;Acta avance obra;2009-11-06;;No;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000009;2009-02-11;"Suministro ingeniero Cervalle ";Proyecto;CERVECERIA DEL VALLE;Yumbo;00000007-00;2009-02-12;OM09-296 ;2009-02-12;Pendiente;5667186;0;5667186;0;0;0;906749;6573935;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000010;2009-02-11;"Trabajos Eléctricos Deposito";Proyecto;BOGOTA - CD SUROCC AUTOSUR;Bogotá;00000008-00;2009-02-17;OM09-218 ;2009-02-17;Facturada total;11249900;11154961;22404861;0;0;0;3584777;25989638;25989639;23084624;216;Acta finalización;2009-10-23;;Si;216;7993946;9908105;17902051;0;0;0;2864328;20766379;1998487;0;1998487;0;0;0;319758;2318245
INCOEL LTDA;00000021;2009-02-17;"Iluminación de tanques";Proyecto;CERVECERIA AGUILA;Barranquilla;00000009-00;2009-02-18;OM09-224 ;2009-02-18;Facturada total;1566700;4762030;6328730;0;0;0;1012596;7341326;7341327;6531249;097;Acta finalización;2009-10-23;;Si;097;1115058;4236564;5351622;0;0;0;856260;6207882;278765;0;278765;0;0;0;44602;323367
